id_familia,idade,sexo,escolaridade,renda_familiar,qtd_pessoas_familia,possui_deficiencia,situacao_trabalho,tipo_moradia,acesso_agua,acesso_esgoto,recebe_bolsa_familia,cod_municipio,renda_per_capita,vulnerabilidade_idade,infraestrutura_adequada,escolaridade_baixa,situacao_trabalho_precaria,superlotacao,renda_per_capita_norm,score_vulnerabilidade,nivel_vulnerabilidade
35474.0,20,F,2,50.0,1,1,1,1,0,0,1,2700300,50.0,0,0,1,1,0,-0.40053741276432164,0.5701612238292965,Muito Alta
35517.0,28,F,0,233.0,3,1,1,1,0,0,0,2700300,77.66666666666667,0,0,1,1,0,-0.30942833453795476,0.5428285003613864,Muito Alta
35561.0,22,M,0,50.0,1,1,1,2,0,0,1,2702355,50.0,0,0,1,1,0,-0.40053741276432164,0.5701612238292965,Muito Alta
35606.0,54,F,0,25.0,2,1,1,1,1,0,1,2702355,12.5,0,0,1,1,0,-0.5240286332518671,0.60720858997556,Muito Alta
35686.0,36,F,0,8.0,3,1,1,1,1,0,1,2707701,2.6666666666666665,0,0,1,1,0,-0.5564107755130457,0.6169232326539137,Muito Alta
35691.0,33,F,0,62.0,4,1,0,1,0,0,1,2707701,15.5,0,0,1,1,0,-0.5141493356128635,0.6042448006838591,Muito Alta
35739.0,32,F,0,30.0,6,1,0,1,1,0,1,2703700,5.0,0,0,1,1,1,-0.5487268773493762,0.7146180632048128,Muito Alta
35743.0,32,F,0,65.0,4,1,1,1,0,0,1,2702207,16.25,0,0,1,1,0,-0.5116795112031126,0.6035038533609337,Muito Alta
35866.0,29,F,0,40.0,2,1,0,1,1,0,1,2704005,20.0,0,0,1,1,0,-0.49933038915435807,0.5997991167463075,Muito Alta
35880.0,35,F,0,26.0,5,1,0,1,1,0,1,2700409,5.2,0,0,1,1,0,-0.548068257506776,0.6144204772520329,Muito Alta
35897.0,37,F,0,125.0,4,1,1,1,1,0,1,2707701,31.25,0,0,1,1,0,-0.4622830230080944,0.5886849069024284,Muito Alta
35936.0,37,F,0,60.0,3,1,1,1,0,1,1,2700300,20.0,0,0,1,1,0,-0.49933038915435807,0.5997991167463075,Muito Alta
35940.0,51,F,0,50.0,1,1,0,1,1,0,1,2704005,50.0,0,0,1,1,0,-0.40053741276432164,0.5701612238292965,Muito Alta
36042.0,72,F,0,937.0,2,1,0,1,1,0,0,2706448,468.5,1,0,1,1,0,0.9776246078766858,0.35671261763699424,Alta
36124.0,42,F,0,55.0,3,1,1,1,1,1,1,2700300,18.333333333333332,0,1,1,1,0,-0.5048188878426934,0.45144566635280803,Alta
36230.0,21,F,0,66.0,3,1,0,1,1,0,1,2709103,22.0,0,0,1,1,0,-0.4927441907283556,0.5978232572185067,Muito Alta
36242.0,55,F,0,0.0,1,1,0,1,1,0,0,2700300,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
36280.0,26,F,2,199.0,4,1,0,1,1,1,0,2707701,49.75,0,1,1,1,0,-0.401360687567572,0.42040820627027164,Alta
36423.0,31,F,0,8.0,6,1,0,1,0,0,1,1400472,1.3333333333333333,0,0,1,1,1,-0.5608015744637139,0.7182404723391141,Muito Alta
36434.0,21,F,0,19.0,2,1,0,1,1,0,1,1400308,9.5,0,0,1,1,0,-0.5339079308908707,0.6101723792672612,Muito Alta
36503.0,57,F,0,12.0,2,1,0,1,0,0,0,1400050,6.0,0,0,1,1,0,-0.5454337781363751,0.6136301334409126,Muito Alta
